Date,Comp,Venue,Result,Opponent,Formation,Referee
2020-08-29,Community Shield,Neutral,D,Liverpool,2003-04-03,Andre Marriner
2020-09-12,Premier League,Away,W,Fulham,2003-04-03,Chris Kavanagh
2020-09-19,Premier League,Home,W,West Ham,2003-04-03,Michael Oliver
2020-09-23,EFL Cup,Away,W,Leicester City,2003-04-03,Peter Bankes
2020-09-28,Premier League,Away,L,Liverpool,2003-04-03,Craig Pawson
2020-10-01,EFL Cup,Away,D,Liverpool,2004-03-03,Kevin Friend
2020-10-04,Premier League,Home,W,Sheffield Utd,2004-03-03,Lee Mason
2020-10-17,Premier League,Away,L,Manchester City,2004-03-03,Chris Kavanagh
2020-10-22,Europa Lg,Away,W,at Rapid Wien,2004-03-03,Pavel Královec
2020-10-25,Premier League,Home,L,Leicester City,2003-04-03,Craig Pawson
2020-10-29,Europa Lg,Home,W,ie Dundalk,2003-04-03,Filip Glova
2020-11-01,Premier League,Away,W,Manchester Utd,2003-04-03,Mike Dean
2020-11-05,Europa Lg,Home,W,no Molde,4-2-3-1,Halil Umut Meler
2020-11-08,Premier League,Home,L,Aston Villa,2003-04-03,Martin Atkinson
2020-11-22,Premier League,Away,D,Leeds United,4-2-3-1,Anthony Taylor
2020-11-26,Europa Lg,Away,W,no Molde,2004-04-02,Irfan Peljto
2020-11-29,Premier League,Home,L,Wolves,4-2-3-1,Michael Oliver
2020-12-03,Europa Lg,Home,W,at Rapid Wien,4-2-3-1,Radu Petrescu
2020-12-06,Premier League,Away,L,Tottenham,4-2-3-1,Martin Atkinson
2020-12-10,Europa Lg,Away,W,ie Dundalk,2003-04-03,Ivan Bebek
2020-12-13,Premier League,Home,L,Burnley,4-2-3-1,Graham Scott
2020-12-16,Premier League,Home,D,Southampton,2003-04-03,Paul Tierney
2020-12-19,Premier League,Away,L,Everton,2003-04-03,Andre Marriner
2020-12-22,EFL Cup,Home,L,Manchester City,2003-04-03,Stuart Attwell
2020-12-26,Premier League,Home,W,Chelsea,4-2-3-1,Michael Oliver
2020-12-29,Premier League,Away,W,Brighton,4-2-3-1,Martin Atkinson
2021-01-02,Premier League,Away,W,West Brom,4-2-3-1,Martin Atkinson
2021-01-09,FA Cup,Home,W,Newcastle Utd,4-2-3-1,Chris Kavanagh
2021-01-14,Premier League,Home,D,Crystal Palace,4-2-3-1,Andre Marriner
2021-01-18,Premier League,Home,W,Newcastle Utd,4-2-3-1,David Coote
2021-01-23,FA Cup,Away,L,Southampton,4-2-3-1,Peter Bankes
2021-01-26,Premier League,Away,W,Southampton,4-2-3-1,Kevin Friend
2021-01-30,Premier League,Home,D,Manchester Utd,4-2-3-1,Michael Oliver
2021-02-02,Premier League,Away,L,Wolves,4-2-3-1,Craig Pawson
2021-02-06,Premier League,Away,L,Aston Villa,4-2-3-1,Chris Kavanagh
2021-02-14,Premier League,Home,W,Leeds United,4-2-3-1,Stuart Attwell
2021-02-18,Europa Lg,Neutral,D,pt Benfica,4-2-3-1,Cüneyt Çakιr
2021-02-21,Premier League,Home,L,Manchester City,4-2-3-1,Jonathan Moss
2021-02-25,Europa Lg,Neutral,W,pt Benfica,4-2-3-1,Björn Kuipers
2021-02-28,Premier League,Away,W,Leicester City,4-2-3-1,Paul Tierney
2021-03-06,Premier League,Away,D,Burnley,4-2-3-1,Andre Marriner
2021-03-11,Europa Lg,Away,W,gr Olympiacos,4-2-3-1,Daniel Siebert
2021-03-14,Premier League,Home,W,Tottenham,4-2-3-1,Michael Oliver
2021-03-18,Europa Lg,Home,L,gr Olympiacos,4-2-3-1,Carlos del Cerro
2021-03-21,Premier League,Away,D,West Ham,4-2-3-1,Jonathan Moss
2021-04-03,Premier League,Home,L,Liverpool,4-2-3-1,Stuart Attwell
2021-04-08,Europa Lg,Home,D,cz Slavia Prague,4-2-3-1,Andreas Ekberg
2021-04-11,Premier League,Away,W,Sheffield Utd,4-2-3-1,Peter Bankes
2021-04-15,Europa Lg,Away,W,cz Slavia Prague,4-2-3-1,Cüneyt Çakιr
2021-04-18,Premier League,Home,D,Fulham,4-2-3-1,Craig Pawson
2021-04-23,Premier League,Home,L,Everton,4-2-3-1,Jonathan Moss
2021-04-29,Europa Lg,Away,L,es Villarreal,4-2-3-1,Artur Soares Dias
2021-05-02,Premier League,Away,W,Newcastle Utd,4-2-3-1,Mike Dean
2021-05-06,Europa Lg,Home,D,es Villarreal,4-1-4-1,Slavko Vinčič
2021-05-09,Premier League,Home,W,West Brom,4-2-3-1,Peter Bankes
2021-05-12,Premier League,Away,W,Chelsea,2003-04-03,Andre Marriner
2021-05-19,Premier League,Away,W,Crystal Palace,4-2-3-1,Anthony Taylor
2021-05-23,Premier League,Home,W,Brighton,4-2-3-1,Jonathan Moss
2021-08-13,Premier League,Away,L,Brentford,4-2-3-1,Michael Oliver
2021-08-22,Premier League,Home,L,Chelsea,4-2-3-1,Paul Tierney
2021-08-25,EFL Cup,Away,W,West Brom,4-2-3-1,David Webb
2021-08-28,Premier League,Away,L,Manchester City,2005-04-01,Martin Atkinson
2021-09-11,Premier League,Home,W,Norwich City,4-2-3-1,Michael Oliver
2021-09-18,Premier League,Away,W,Burnley,4-1-4-1,Anthony Taylor
2021-09-22,EFL Cup,Home,W,AFC Wimbledon,4-3-2-1,Jarred Gillett
2021-09-26,Premier League,Home,W,Tottenham,4-2-3-1,Craig Pawson
2021-10-02,Premier League,Away,D,Brighton,4-2-3-1,Jonathan Moss
2021-10-18,Premier League,Home,D,Crystal Palace,4-1-4-1,Mike Dean
2021-10-22,Premier League,Home,W,Aston Villa,4-2-3-1,Craig Pawson
2021-10-26,EFL Cup,Home,W,Leeds United,4-2-3-1,Andre Marriner
2021-10-30,Premier League,Away,W,Leicester City,4-4-1-1,Michael Oliver
2021-11-07,Premier League,Home,W,Watford,4-4-1-1,Kevin Friend
2021-11-20,Premier League,Away,L,Liverpool,4-4-1-1,Michael Oliver
2021-11-27,Premier League,Home,W,Newcastle Utd,4-4-1-1,Stuart Attwell
2021-12-02,Premier League,Away,L,Manchester Utd,4-4-1-1,Martin Atkinson
2021-12-06,Premier League,Away,L,Everton,4-2-3-1,Mike Dean
2021-12-11,Premier League,Home,W,Southampton,4-4-1-1,Jarred Gillett
2021-12-15,Premier League,Home,W,West Ham,4-4-1-1,Anthony Taylor
2021-12-18,Premier League,Away,W,Leeds United,4-2-3-1,Andre Marriner
2021-12-21,EFL Cup,Home,W,Sunderland,4-1-4-1,Robert Jones
2021-12-26,Premier League,Away,W,Norwich City,4-2-3-1,Graham Scott
2022-01-01,Premier League,Home,L,Manchester City,4-2-3-1,Stuart Attwell
2022-01-09,FA Cup,Away,L,Nott'ham Forest,4-2-3-1,Craig Pawson
2022-01-13,EFL Cup,Away,D,Liverpool,4-2-3-1,Michael Oliver
2022-01-20,EFL Cup,Home,L,Liverpool,4-1-4-1,Martin Atkinson
2022-01-23,Premier League,Home,D,Burnley,4-1-4-1,David Coote
2022-02-10,Premier League,Away,W,Wolves,4-2-3-1,Michael Oliver
2022-02-19,Premier League,Home,W,Brentford,4-2-3-1,Jonathan Moss
2022-02-24,Premier League,Home,W,Wolves,4-2-3-1,Martin Atkinson
2022-03-06,Premier League,Away,W,Watford,4-2-3-1,Craig Pawson
2022-03-13,Premier League,Home,W,Leicester City,4-2-3-1,Anthony Taylor
2022-03-16,Premier League,Home,L,Liverpool,4-2-3-1,Andre Marriner
2022-03-19,Premier League,Away,W,Aston Villa,4-2-3-1,Andy Madley
2022-04-04,Premier League,Away,L,Crystal Palace,4-2-3-1,Paul Tierney
2022-04-09,Premier League,Home,L,Brighton,4-2-3-1,David Coote
2022-04-16,Premier League,Away,L,Southampton,4-2-3-1,Peter Bankes
2022-04-20,Premier League,Away,W,Chelsea,4-2-3-1,Jonathan Moss
2022-04-23,Premier League,Home,W,Manchester Utd,4-2-3-1,Craig Pawson
2022-05-01,Premier League,Away,W,West Ham,4-2-3-1,Mike Dean
2022-05-08,Premier League,Home,W,Leeds United,4-2-3-1,Chris Kavanagh
2022-05-12,Premier League,Away,L,Tottenham,2004-03-03,Paul Tierney
2022-05-16,Premier League,Away,L,Newcastle Utd,4-2-3-1,Darren England
2022-05-22,Premier League,Home,W,Everton,4-2-3-1,Andre Marriner
2022-08-05,Premier League,Away,W,Crystal Palace,2004-03-03,Anthony Taylor
2022-08-13,Premier League,Home,W,Leicester City,2004-03-03,Darren England
2022-08-20,Premier League,Away,W,Bournemouth,2004-03-03,Craig Pawson
2022-08-27,Premier League,Home,W,Fulham,2004-03-03,Jarred Gillett
2022-08-31,Premier League,Home,W,Aston Villa,2004-03-03,Robert Jones
2022-09-04,Premier League,Away,L,Manchester Utd,2004-03-03,Paul Tierney
2022-09-08,Europa Lg,Away,W,ch Zürich,2004-03-03,Mohammed Al Hakim
2022-09-18,Premier League,Away,W,Brentford,2004-03-03,David Coote
2022-10-01,Premier League,Home,W,Tottenham,2004-03-03,Anthony Taylor
2022-10-06,Europa Lg,Home,W,no Bodø/Glimt,2004-03-03,Harm Osmers
2022-10-09,Premier League,Home,W,Liverpool,2004-03-03,Michael Oliver
2022-10-13,Europa Lg,Away,W,no Bodø/Glimt,2004-03-03,Irfan Peljto
2022-10-16,Premier League,Away,W,Leeds United,2004-03-03,Chris Kavanagh
2022-10-20,Europa Lg,Home,W,nl PSV Eindhoven,2004-03-03,Alejandro Hernández
2022-10-23,Premier League,Away,D,Southampton,2004-03-03,Robert Jones
2022-10-27,Europa Lg,Away,L,nl PSV Eindhoven,2004-03-03,Marco Di Bello
2022-10-30,Premier League,Home,W,Nott'ham Forest,2004-03-03,Simon Hooper
2022-11-03,Europa Lg,Home,W,ch Zürich,2004-03-03,Erik Lambrechts
2022-11-06,Premier League,Away,W,Chelsea,2004-03-03,Michael Oliver
2022-11-09,EFL Cup,Home,L,Brighton,4-2-3-1,Jarred Gillett
2022-11-12,Premier League,Away,W,Wolves,2004-03-03,Stuart Attwell
2022-12-26,Premier League,Home,W,West Ham,2004-03-03,Michael Oliver
2022-12-31,Premier League,Away,W,Brighton,2004-03-03,Anthony Taylor
2023-01-03,Premier League,Home,D,Newcastle Utd,2004-03-03,Andy Madley
2023-01-09,FA Cup,Away,W,Oxford United,2004-03-03,David Coote
2023-01-15,Premier League,Away,W,Tottenham,2004-03-03,Craig Pawson
2023-01-22,Premier League,Home,W,Manchester Utd,2004-03-03,Anthony Taylor
2023-01-27,FA Cup,Away,L,Manchester City,2004-03-03,Paul Tierney
2023-02-04,Premier League,Away,L,Everton,2004-03-03,David Coote
2023-02-11,Premier League,Home,D,Brentford,2004-03-03,Peter Bankes
Date,Comp,Venue,Result,Opponent,Formation,Referee
2023-02-15,Premier League,Home,L,Manchester City,2004-03-03,Anthony Taylor
2023-02-18,Premier League,Away,W,Aston Villa,2004-03-03,Simon Hooper
2023-02-25,Premier League,Away,W,Leicester City,2004-03-03,Craig Pawson
2023-03-01,Premier League,Home,W,Everton,2004-03-03,Michael Oliver
2023-03-04,Premier League,Home,W,Bournemouth,2004-03-03,Chris Kavanagh
2023-03-09,Europa Lg,Away,D,pt Sporting CP,2004-03-03,Tobias Stieler
2023-03-12,Premier League,Away,W,Fulham,2004-03-03,David Coote
2023-03-16,Europa Lg,Home,D,pt Sporting CP,2004-03-03,Antonio Matéu
2023-03-19,Premier League,Home,W,Crystal Palace,2004-03-03,Stuart Attwell
2023-04-01,Premier League,Home,W,Leeds United,2004-03-03,Darren England
2023-04-09,Premier League,Away,D,Liverpool,2004-03-03,Paul Tierney
2023-04-16,Premier League,Away,D,West Ham,2004-03-03,David Coote
2023-04-21,Premier League,Home,D,Southampton,2004-03-03,Simon Hooper
2023-04-26,Premier League,Away,L,Manchester City,2004-03-03,Michael Oliver
2023-05-02,Premier League,Home,W,Chelsea,2004-03-03,Robert Jones
2023-05-07,Premier League,Away,W,Newcastle Utd,2004-03-03,Chris Kavanagh
2023-05-14,Premier League,Home,L,Brighton,2004-03-03,Andy Madley
2023-05-20,Premier League,Away,L,Nott'ham Forest,2004-03-03,Anthony Taylor
2023-05-28,Premier League,Home,W,Wolves,2004-03-03,Andre Marriner
